ns	from	to	predicate	reverse
schema	schema:option	schema:ChooseAction	domainIncludes	hasDomainProperty
schema	schema:option	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:option	schema:Thing	rangeIncludes	hasRangeProperty
schema	schema:minimumPaymentDue	schema:Invoice	domainIncludes	hasDomainProperty
schema	schema:minimumPaymentDue	schema:PriceSpecification	rangeIncludes	hasRangeProperty
schema	schema:minimumPaymentDue	schema:MonetaryAmount	rangeIncludes	hasRangeProperty
schema	schema:includedDataCatalog	schema:Dataset	domainIncludes	hasDomainProperty
schema	schema:includedDataCatalog	schema:DataCatalog	rangeIncludes	hasRangeProperty
schema	schema:discount	schema:Order	domainIncludes	hasDomainProperty
schema	schema:discount	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:discount	schema:Number	rangeIncludes	hasRangeProperty
schema	schema:printPage	schema:NewsArticle	domainIncludes	hasDomainProperty
schema	schema:printPage	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:muscleAction	schema:Muscle	domainIncludes	hasDomainProperty
schema	schema:muscleAction	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:illustrator	schema:Book	domainIncludes	hasDomainProperty
schema	schema:illustrator	schema:Person	rangeIncludes	hasRangeProperty
schema	schema:contentType	schema:EntryPoint	domainIncludes	hasDomainProperty
schema	schema:contentType	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:servesCuisine	schema:FoodEstablishment	domainIncludes	hasDomainProperty
schema	schema:servesCuisine	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:distance	schema:ExerciseAction	domainIncludes	hasDomainProperty
schema	schema:distance	schema:TravelAction	domainIncludes	hasDomainProperty
schema	schema:distance	schema:Distance	rangeIncludes	hasRangeProperty
schema	schema:containedInPlace	schema:Place	domainIncludes	hasDomainProperty
schema	schema:containedInPlace	schema:Place	rangeIncludes	hasRangeProperty
schema	schema:broker	schema:Order	domainIncludes	hasDomainProperty
schema	schema:broker	schema:Reservation	domainIncludes	hasDomainProperty
schema	schema:broker	schema:Service	domainIncludes	hasDomainProperty
schema	schema:broker	schema:Invoice	domainIncludes	hasDomainProperty
schema	schema:broker	schema:Person	rangeIncludes	hasRangeProperty
schema	schema:broker	schema:Organization	rangeIncludes	hasRangeProperty
schema	schema:permittedUsage	schema:Accommodation	domainIncludes	hasDomainProperty
schema	schema:permittedUsage	schema:Text	rangeIncludes	hasRangeProperty
schema	schema:totalHistoricalEnrollment	schema:Course	domainIncludes	hasDomainProperty
schema	schema:totalHistoricalEnrollment	schema:Integer	rangeIncludes	hasRangeProperty
schema	schema:issuedBy	schema:Permit	domainIncludes	hasDomainProperty
schema	schema:issuedBy	schema:Ticket	domainIncludes	hasDomainProperty
schema	schema:issuedBy	schema:Certification	domainIncludes	hasDomainProperty
schema	schema:issuedBy	schema:Organization	rangeIncludes	hasRangeProperty
schema	schema:hasMemberProgram	schema:Organization	domainIncludes	hasDomainProperty
schema	schema:hasMemberProgram	schema:MemberProgram	rangeIncludes	hasRangeProperty
schema	schema:hasEnergyEfficiencyCategory	schema:EnergyConsumptionDetails	domainIncludes	hasDomainProperty
