url	ns	type	id	code	name	description	source	level	segment	segmentCode	family	familyCode	class	classCode	parent	hierarchy
https://napcs.org.ai/Service/ManufacturedFullyAssembledResidentialBuildingsBuiltFactoryDeliveredReadyMove	napcs.org.ai	Service	ManufacturedFullyAssembledResidentialBuildingsBuiltFactoryDeliveredReadyMove	panelized	and manufactured or fully assembled residential buildings built in a factory and delivered ready for move-in		NAPCS	Residential buildings constructed entirely at the building site							modular and other prefabricated residential buildings are included in this group. Unassembled prefabricated residential buildings built in a factory	
https://napcs.org.ai/Service/ManufacturedFullyAssembledResidentialBuildingsBuiltFactoryDeliveredReadyMovepanelized	napcs.org.ai	Service	ManufacturedFullyAssembledResidentialBuildingsBuiltFactoryDeliveredReadyMovepanelized	panelized	and manufactured or fully assembled residential buildings built in a factory and delivered ready for move-in		NAPCS	Residential buildings constructed entirely at the building site							modular and other prefabricated residential buildings are included in this group. Unassembled prefabricated residential buildings built in a factory	
https://napcs.org.ai/Service/ManufacturedFullyAssembledNonResidentialBuildingsBuiltFactoryDeliveredReadyMove	napcs.org.ai	Service	ManufacturedFullyAssembledNonResidentialBuildingsBuiltFactoryDeliveredReadyMove	panelized	and manufactured or fully assembled non-residential buildings built in a factory and delivered ready for move-in		NAPCS	Non-residential buildings constructed entirely at the building site							modular and other prefabricated non-residential buildings are included in this group. Unassembled prefabricated non-residential buildings built in a factory	
https://napcs.org.ai/Service/InterconnectedBuildingUnitsAreRegardedAsIndividualBuildingsIfTheyHaveTheirOwnAccessAsWellAsTheirOwnUtilitySystemAreSeparatelyUsable	napcs.org.ai	Service	InterconnectedBuildingUnitsAreRegardedAsIndividualBuildingsIfTheyHaveTheirOwnAccessAsWellAsTheirOwnUtilitySystemAreSeparatelyUsable	semi-detached or terraced houses)	the interconnected building units are regarded as individual buildings if they have their own access (own entrance) as well as their own utility system and are separately usable.		NAPCS	A building refers to any independent free-standing permanent structure comprising one or more residential dwelling units							any unit separated from other units by a fire wall extending from roof to cellar is considered an individual building. If there is no fire wall	
https://napcs.org.ai/Service/Theinterconnectedbuildingunitsareregardedasindividualbuildingsiftheyhavetheirownaccessownentranceaswellastheirownutilitysystemandareseparatelyusable	napcs.org.ai	Service	Theinterconnectedbuildingunitsareregardedasindividualbuildingsiftheyhavetheirownaccessownentranceaswellastheirownutilitysystemandareseparatelyusable	semi-detached or terraced houses)	the interconnected building units are regarded as individual buildings if they have their own access (own entrance) as well as their own utility system and are separately usable.		NAPCS	A building refers to any independent free-standing permanent structure comprising one or more residential dwelling units							any unit separated from other units by a fire wall extending from roof to cellar is considered an individual building. If there is no fire wall	
https://napcs.org.ai/Service/Bars	napcs.org.ai	Service	Bars	90101502	Bars		UNSPSC	commodity	Travel and Food and Lodging and Entertainment Services	90000000	Restaurants and catering	90100000	Eating and drinking establishments	90101500		
https://napcs.org.ai/Service/FastFoodEstablishments	napcs.org.ai	Service	FastFoodEstablishments	90101503	Fast food establishments		UNSPSC	commodity	Travel and Food and Lodging and Entertainment Services	90000000	Restaurants and catering	90100000	Eating and drinking establishments	90101500		
https://napcs.org.ai/Service/OnStreetFoodVendors	napcs.org.ai	Service	OnStreetFoodVendors	90101504	On street food vendors		UNSPSC	commodity	Travel and Food and Lodging and Entertainment Services	90000000	Restaurants and catering	90100000	Eating and drinking establishments	90101500		
https://napcs.org.ai/Service/BanquetFacilities	napcs.org.ai	Service	BanquetFacilities	90101601	Banquet facilities		UNSPSC	commodity	Travel and Food and Lodging and Entertainment Services	90000000	Restaurants and catering	90100000	Banquet and catering services	90101600		
https://napcs.org.ai/Service/ProfessionallyPreparedCarryoutMeals	napcs.org.ai	Service	ProfessionallyPreparedCarryoutMeals	90101801	Professionally prepared carryout meals		UNSPSC	commodity	Travel and Food and Lodging and Entertainment Services	90000000	Restaurants and catering	90100000	Carryout and takeaway services	90101800		
