url	ns	type	id	name	description	code	graphdl	predicate	object	preposition	complement	confidence	occupations	occupationCount
https://tasks.org.ai/Direct_or_coordinate_an_organization's_financial_or_budget_activities_to_fund_operations,_maximize_investments,_or_increase_efficiency.	tasks.org.ai	Task	Direct_or_coordinate_an_organization's_financial_or_budget_activities_to_fund_operations,_maximize_investments,_or_increase_efficiency.	Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.	Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.	8823	Direct.or.coordinate.organization's.financial.or.budget.activities.to.operations [Direct.or.coordinate.organization's.financial.to.operations,Direct.budget.activities.to.operations]	Direct	or coordinate organization's financial or budget activities	to	operations	1	https://onet.org.ai/Task/8823	1
https://tasks.org.ai/Confer_with_board_members,_organization_officials,_or_staff_members_to_discuss_issues,_coordinate_activities,_or_resolve_problems.	tasks.org.ai	Task	Confer_with_board_members,_organization_officials,_or_staff_members_to_discuss_issues,_coordinate_activities,_or_resolve_problems.	Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.	Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.	8824	Confer.with.board.members	Confer		with	board members	1	https://onet.org.ai/Task/8824	1
https://tasks.org.ai/Prepare_budgets_for_approval,_including_those_for_funding_or_implementation_of_programs.	tasks.org.ai	Task	Prepare_budgets_for_approval,_including_those_for_funding_or_implementation_of_programs.	Prepare budgets for approval, including those for funding or implementation of programs.	Prepare budgets for approval, including those for funding or implementation of programs.	8827	Prepare.budgets.for.approval	Prepare	budgets	for	approval	1	https://onet.org.ai/Task/8827	1
https://tasks.org.ai/Direct,_plan,_or_implement_policies,_objectives,_or_activities_of_organizations_or_businesses_to_ensure_continuing_operations,_to_maximize_returns_on_investments,_or_to_increase_productivity.	tasks.org.ai	Task	Direct,_plan,_or_implement_policies,_objectives,_or_activities_of_organizations_or_businesses_to_ensure_continuing_operations,_to_maximize_returns_on_investments,_or_to_increase_productivity.	Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.	Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.	8826	Direct	Direct				1	https://onet.org.ai/Task/8826	1
https://tasks.org.ai/Prepare_or_present_reports_concerning_activities,_expenses,_budgets,_government_statutes_or_rulings,_or_other_items_affecting_businesses_or_program_services.	tasks.org.ai	Task	Prepare_or_present_reports_concerning_activities,_expenses,_budgets,_government_statutes_or_rulings,_or_other_items_affecting_businesses_or_program_services.	Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.	Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.	8834	Prepare.or.present.reports.concerning.activities [Prepare.or.present.reports.concerning.activities]	Prepare	or present reports	concerning	activities	1	https://onet.org.ai/Task/8834	1
https://tasks.org.ai/Implement_corrective_action_plans_to_solve_organizational_or_departmental_problems.	tasks.org.ai	Task	Implement_corrective_action_plans_to_solve_organizational_or_departmental_problems.	Implement corrective action plans to solve organizational or departmental problems.	Implement corrective action plans to solve organizational or departmental problems.	8836	Implement.corrective.action.plans.to.organizational.departmental.problems	Implement	corrective action plans	to	organizational departmental problems	1	https://onet.org.ai/Task/8836	1
https://tasks.org.ai/Analyze_operations_to_evaluate_performance_of_a_company_or_its_staff_in_meeting_objectives_or_to_determine_areas_of_potential_cost_reduction,_program_improvement,_or_policy_change.	tasks.org.ai	Task	Analyze_operations_to_evaluate_performance_of_a_company_or_its_staff_in_meeting_objectives_or_to_determine_areas_of_potential_cost_reduction,_program_improvement,_or_policy_change.	Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.	Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.	8825	Analyze.operations.to.performance.company.staff.objectives.areas.potential.cost.reduction	Analyze	operations	to	performance company staff objectives areas potential cost reduction	1	https://onet.org.ai/Task/8825	1
https://tasks.org.ai/Direct_or_coordinate_activities_of_businesses_or_departments_concerned_with_production,_pricing,_sales,_or_distribution_of_products.	tasks.org.ai	Task	Direct_or_coordinate_activities_of_businesses_or_departments_concerned_with_production,_pricing,_sales,_or_distribution_of_products.	Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.	Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.	8828	Direct.or.coordinate.activities.of.businesses.departments.concerned.production [Direct.or.coordinate.activities.of.businesses.departments.concerned.production]	Direct	or coordinate activities	of	businesses departments concerned production	1	https://onet.org.ai/Task/8828	1
https://tasks.org.ai/Direct_human_resources_activities,_including_the_approval_of_human_resource_plans_or_activities,_the_selection_of_directors_or_other_high-level_staff,_or_establishment_or_organization_of_major_departments.	tasks.org.ai	Task	Direct_human_resources_activities,_including_the_approval_of_human_resource_plans_or_activities,_the_selection_of_directors_or_other_high-level_staff,_or_establishment_or_organization_of_major_departments.	Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.	Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.	8832	Direct.HumanResources.activities	Direct	HumanResources activities			1	https://onet.org.ai/Task/8832	1
https://tasks.org.ai/Appoint_department_heads_or_managers_and_assign_or_delegate_responsibilities_to_them.	tasks.org.ai	Task	Appoint_department_heads_or_managers_and_assign_or_delegate_responsibilities_to_them.	Appoint department heads or managers and assign or delegate responsibilities to them.	Appoint department heads or managers and assign or delegate responsibilities to them.	8831	department.heads.or.managers.and.assign.or.delegate.responsibilities.to [department.heads.to,department.managers.to,department.assign.to,department.delegate.responsibilities.to]	department	heads or managers and assign or delegate responsibilities	to		1	https://onet.org.ai/Task/8831	1
https://tasks.org.ai/Interpret_and_explain_policies,_rules,_regulations,_or_laws_to_organizations,_government_or_corporate_officials,_or_individuals.	tasks.org.ai	Task	Interpret_and_explain_policies,_rules,_regulations,_or_laws_to_organizations,_government_or_corporate_officials,_or_individuals.	Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.	Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.	8843	Interpret.explain.policies,.rules,.regulations,.or.laws.to.organizations,.government.or.corporate.officials,.or.individuals. [Interpret.policies,explain.policies]	Interpret	explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.			1	https://onet.org.ai/Task/8843	1
https://tasks.org.ai/Review_reports_submitted_by_staff_members_to_recommend_approval_or_to_suggest_changes.	tasks.org.ai	Task	Review_reports_submitted_by_staff_members_to_recommend_approval_or_to_suggest_changes.	Review reports submitted by staff members to recommend approval or to suggest changes.	Review reports submitted by staff members to recommend approval or to suggest changes.	8830	Review.reports.submitted.by.staff.members.approval	Review	reports submitted	by	staff members approval	1	https://onet.org.ai/Task/8830	1
https://tasks.org.ai/Negotiate_or_approve_contracts_or_agreements_with_suppliers,_distributors,_federal_or_state_agencies,_or_other_organizational_entities.	tasks.org.ai	Task	Negotiate_or_approve_contracts_or_agreements_with_suppliers,_distributors,_federal_or_state_agencies,_or_other_organizational_entities.	Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.	Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.	8829	Negotiate.or.approve.contracts.or.agreements.with.suppliers [Negotiate.or.approve.contracts.with.suppliers,Negotiate.agreements.with.suppliers]	Negotiate	or approve contracts or agreements	with	suppliers	1	https://onet.org.ai/Task/8829	1
https://tasks.org.ai/Establish_departmental_responsibilities_and_coordinate_functions_among_departments_and_sites.	tasks.org.ai	Task	Establish_departmental_responsibilities_and_coordinate_functions_among_departments_and_sites.	Establish departmental responsibilities and coordinate functions among departments and sites.	Establish departmental responsibilities and coordinate functions among departments and sites.	8835	Establish.departmental.responsibilities.and.coordinate.functions.among.departments.sites [Establish.departmental.responsibilities.among.departments.sites,Establish.coordinate.functions.among.departments.sites]	Establish	departmental responsibilities and coordinate functions	among	departments sites	1	https://onet.org.ai/Task/8835	1
https://tasks.org.ai/Deliver_speeches,_write_articles,_or_present_information_at_meetings_or_conventions_to_promote_services,_exchange_ideas,_or_accomplish_objectives.	tasks.org.ai	Task	Deliver_speeches,_write_articles,_or_present_information_at_meetings_or_conventions_to_promote_services,_exchange_ideas,_or_accomplish_objectives.	Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.	Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.	8839	Deliver.speeches	Deliver	speeches			1	https://onet.org.ai/Task/8839	1
https://tasks.org.ai/Serve_as_liaisons_between_organizations,_shareholders,_and_outside_organizations.	tasks.org.ai	Task	Serve_as_liaisons_between_organizations,_shareholders,_and_outside_organizations.	Serve as liaisons between organizations, shareholders, and outside organizations.	Serve as liaisons between organizations, shareholders, and outside organizations.	8840	Serve.as.liaisons.between.organizations	Serve	as liaisons	between	organizations	1	https://onet.org.ai/Task/8840	1
https://tasks.org.ai/Coordinate_the_development_or_implementation_of_budgetary_control_systems,_recordkeeping_systems,_or_other_administrative_control_processes.	tasks.org.ai	Task	Coordinate_the_development_or_implementation_of_budgetary_control_systems,_recordkeeping_systems,_or_other_administrative_control_processes.	Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.	Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.	8837	Coordinate.development.or.implementation.of.budgetary.systems [Coordinate.development.of.budgetary.systems,Coordinate.implementation.of.budgetary.systems]	Coordinate	development or implementation	of	budgetary systems	1	https://onet.org.ai/Task/8837	1
https://tasks.org.ai/Preside_over,_or_serve_on,_boards_of_directors,_management_committees,_or_other_governing_boards.	tasks.org.ai	Task	Preside_over,_or_serve_on,_boards_of_directors,_management_committees,_or_other_governing_boards.	Preside over, or serve on, boards of directors, management committees, or other governing boards.	Preside over, or serve on, boards of directors, management committees, or other governing boards.	8833	serve.on	serve		on		1	https://onet.org.ai/Task/8833	1
https://tasks.org.ai/Attend_and_participate_in_meetings_of_municipal_councils_or_council_committees.	tasks.org.ai	Task	Attend_and_participate_in_meetings_of_municipal_councils_or_council_committees.	Attend and participate in meetings of municipal councils or council committees.	Attend and participate in meetings of municipal councils or council committees.	8849	participate.in.meetings.municipal.councils.council.committees	participate		in	meetings municipal councils council committees	1	https://onet.org.ai/Task/8849	1
https://tasks.org.ai/Organize_or_approve_promotional_campaigns.	tasks.org.ai	Task	Organize_or_approve_promotional_campaigns.	Organize or approve promotional campaigns.	Organize or approve promotional campaigns.	8850	Organize.or.approve.promotional.campaigns [Organize.or.approve.promotional.campaigns]	Organize	or approve promotional campaigns			1	https://onet.org.ai/Task/8850	1
https://tasks.org.ai/Nominate_citizens_to_boards_or_commissions.	tasks.org.ai	Task	Nominate_citizens_to_boards_or_commissions.	Nominate citizens to boards or commissions.	Nominate citizens to boards or commissions.	8842	citizens.to.boards	citizens		to	boards	1	https://onet.org.ai/Task/8842	1
