id	name	description	language	paradigm
C#	C#	Multi-paradigm language by Microsoft	C#	Multi-paradigm
C++	C++	General-purpose programming language	C++	Multi-paradigm
Clojure	Clojure	Functional Lisp dialect on JVM	Clojure	Functional
Css	CSS	Style sheet language for web pages	CSS	Declarative
Dart	Dart	Client-optimized language for apps	Dart	Object-Oriented
DeclarativeProgramming	Declarative Programming	Programming that expresses logic without control flow	General	Declarative
DecoratorPattern	Decorator Pattern	Adds behavior to objects dynamically	General	Design Pattern
Elixir	Elixir	Functional language for scalable applications	Elixir	Functional
EventDrivenProgramming	Event-Driven Programming	Programming based on events and handlers	General	Event-Driven
FactoryPattern	Factory Pattern	Creates objects without specifying exact class	General	Design Pattern
FunctionalProgramming	Functional Programming	Programming with pure functions and immutability	General	Functional
Go	Go	Statically typed compiled language by Google	Go	Concurrent
Haskell	Haskell	Purely functional programming language	Haskell	Functional
Html	HTML	Markup language for web pages	HTML	Markup
Java	Java	Object-oriented programming language	Java	Object-Oriented
Javascript	JavaScript	High-level programming language for web development	JavaScript	Multi-paradigm
Kotlin	Kotlin	Modern language for JVM and Android	Kotlin	Multi-paradigm
MicroservicesPattern	Microservices Pattern	Architectural style with small services	General	Architecture
MvcPattern	MVC Pattern	Model-View-Controller architectural pattern	General	Architecture
MvvmPattern	MVVM Pattern	Model-View-ViewModel architectural pattern	General	Architecture
ObjectOrientedProgramming	Object-Oriented Programming	Programming based on objects and classes	General	Object-Oriented
ObserverPattern	Observer Pattern	Notifies dependents of state changes	General	Design Pattern
Php	PHP	Server-side scripting language	PHP	Multi-paradigm
ProceduralProgramming	Procedural Programming	Programming with procedures and routines	General	Procedural
Python	Python	High-level general-purpose programming language	Python	Multi-paradigm
R	R	Language for statistical computing	R	Functional
ReactiveProgramming	Reactive Programming	Programming with asynchronous data streams	General	Reactive
Ruby	Ruby	Dynamic object-oriented language	Ruby	Object-Oriented
Rust	Rust	Systems programming language focused on safety	Rust	Multi-paradigm
Scala	Scala	Functional and object-oriented language	Scala	Multi-paradigm
ServerlessPattern	Serverless Pattern	Cloud architecture without server management	General	Architecture
SingletonPattern	Singleton Pattern	Ensures a class has only one instance	General	Design Pattern
Sql	SQL	Domain-specific language for databases	SQL	Declarative
StrategyPattern	Strategy Pattern	Defines family of algorithms	General	Design Pattern
Swift	Swift	Apple's programming language for iOS	Swift	Multi-paradigm
Typescript	TypeScript	Typed superset of JavaScript	TypeScript	Multi-paradigm
