canonicalForm	description	predicate	event	activity	actor	object	inverse	source	vocabulary
accept	Accepting receipt of goods or materials	accepts	accepted	accepting	Accepter	Acceptance	acceptedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
achieve	Accomplish or attain a goal or result through effort or action.	achieves	achieved	achieving	Achiever	Achievement	achievedBy	https://schema.org/Action	Schema.org 27.0
acquire	Obtain or purchase goods, services, or resources	acquires	acquired	acquiring	Acquirer	Acquisition	acquiredBy	https://www.apqc.org/	APQC PCF 7.0
activate	Make something active or operational; start or enable a process or system.	activates	activated	activating	Activator	Activation	activatedBy	https://schema.org/Action	Schema.org 27.0
add	Put or place something together with another item; combine or append.	adds	added	adding	Adder	Addition	addedBy	https://schema.org/Action	Schema.org 27.0
administer	Manage the execution and control of operational processes	administers	administered	administering	Administrator	Administration	administeredBy	https://www.apqc.org/	APQC PCF 7.0
agree	Consent or assent to something; reach mutual understanding or acceptance.	agrees	agreed	agreeing	Agreer	Agreement	agreedTo	https://schema.org/Action	Schema.org 27.0
allocate	Distribute or assign resources, responsibilities, or opportunities.	allocates	allocated	allocating	Allocator	Allocation	allocatedBy	https://schema.org/Action	Schema.org 27.0
analyze	Examining information or data to identify patterns, relationships, or solutions	analyzes	analyzed	analyzing	Analyzer	Analysis	analyzedBy	https://www.onetonline.org/	O*NET 28.0
apply	Submit a formal request or use something in practice; put into effect.	applies	applied	applying	Applicant	Application	appliedBy	https://schema.org/Action	Schema.org 27.0
approve	Formally agree to or officially sanction something; give authorization.	approves	approved	approving	Approver	Approval	approvedBy	https://schema.org/Action	Schema.org 27.0
archive	Store or preserve items for long-term retention; move to historical record.	archives	archived	archiving	Archivist	Archive	archivedBy	https://schema.org/Action	Schema.org 27.0
arrange	Organizing, positioning, or setting up items, events, or schedules in a particular order or configuration	arranges	arranged	arranging	Arranger	Arrangement	arrangedBy	https://www.onetonline.org/	O*NET 28.0
arrive	Arriving at a location	arrives	arrived	arriving	Arriver	Arrival	arrivedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
assemble	Combining components into a finished product	assembles	assembled	assembling	Assembler	Assembly	assembledBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
assess	Evaluating or determining the nature, value, or extent of something through examination	assesses	assessed	assessing	Assessor	Assessment	assessedBy	https://www.onetonline.org/	O*NET 28.0
assign	Indicating the object to be assigned	assigns	assigned	assigning	Assigner	Assignment	assignedBy	https://schema.org/Action	Schema.org 27.0
assist	Helping, supporting, or providing aid to another person or process to accomplish tasks or goals	assists	assisted	assisting	Assistant	Assistance	assistedBy	https://www.onetonline.org/	O*NET 28.0
attach	Indicating the object to be attached	attaches	attached	attaching	Attacher	Attachment	attachedBy	https://schema.org/Action	Schema.org 27.0
audit	Examine and verify compliance with standards and procedures	audits	audited	auditing	Auditor	Audit	auditedBy	https://www.apqc.org/	APQC PCF 7.0
authorize	Granting a permission or authority	authorizes	authorized	authorizing	Authorizer	Authorization	authorizedBy	https://schema.org/Action	Schema.org 27.0
benchmark	Compare performance against industry standards or best practices	benchmarks	benchmarked	benchmarking	Benchmarker	Benchmark	benchmarkedBy	https://www.apqc.org/	APQC PCF 7.0
budget	Plan and allocate financial resources for future periods	budgets	budgeted	budgeting	Budgeter	Budget	budgetedBy	https://www.apqc.org/	APQC PCF 7.0
calculate	Computing or determining mathematical values or results based on data and formulas	calculates	calculated	calculating	Calculator	Calculation	calculatedBy	https://www.onetonline.org/	O*NET 28.0
cancel	Canceling an action that was previously scheduled	cancels	canceled	canceling	Canceler	Cancellation	canceledBy	https://schema.org/Action	Schema.org 27.0
capture	Recording an observation or information	captures	captured	capturing	Capturer	Capture	capturedBy	https://schema.org/Action	Schema.org 27.0
certify	Formally attest or validate that standards are met	certifies	certified	certifying	Certifier	Certification	certifiedBy	https://www.apqc.org/	APQC PCF 7.0
check	Checking an object for correctness or validity	checks	checked	checking	Checker	Check	checkedBy	https://schema.org/Action	Schema.org 27.0
choose	Selecting one or more items from a collection	chooses	chosen	choosing	Chooser	Choice	chosenBy	https://schema.org/Action	Schema.org 27.0
classify	Assigning a category or classification to an object	classifies	classified	classifying	Classifier	Classification	classifiedBy	https://schema.org/Action	Schema.org 27.0
clean	Removing dirt, waste, or unwanted material from surfaces, objects, or areas to maintain cleanliness and hygiene	cleans	cleaned	cleaning	Cleaner	Cleaning	cleanedBy	https://www.onetonline.org/	O*NET 28.0
close	To move or cause to move into a position where something is no longer open; to shut or seal.	closes	closed	closing	Closer	Closure	closedBy	https://schema.org/Action	Schema.org 27.0
collect	Gathering objects together	collects	collected	collecting	Collector	Collection	collectedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
comment	To make remarks or observations, typically in response to something or someone; to provide feedback or notes.	comments	commented	commenting	Commenter	Commentary	commentedBy	https://schema.org/Action	Schema.org 27.0
commission	Assigning a unique identity to an object	commissions	commissioned	commissioning	Commissioner	Commission	commissionedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
