ns	from	to	predicate	reverse
model	allenai/olmo-3-32b-think	AIModel	instanceOf	hasInstance
model	allenai/olmo-3-32b-think	TextModel	hasCapability	capabilityOf
model	allenai/olmo-3-7b-instruct	AIModel	instanceOf	hasInstance
model	allenai/olmo-3-7b-instruct	TextModel	hasCapability	capabilityOf
model	allenai/olmo-3-7b-think	AIModel	instanceOf	hasInstance
model	allenai/olmo-3-7b-think	TextModel	hasCapability	capabilityOf
model	google/gemini-3-pro-image-preview	AIModel	instanceOf	hasInstance
model	google/gemini-3-pro-image-preview	TextModel	hasCapability	capabilityOf
model	google/gemini-3-pro-image-preview	VisionModel	hasCapability	capabilityOf
model	x-ai/grok-4.1-fast	AIModel	instanceOf	hasInstance
model	x-ai/grok-4.1-fast	TextModel	hasCapability	capabilityOf
model	x-ai/grok-4.1-fast	VisionModel	hasCapability	capabilityOf
model	google/gemini-3-pro-preview	AIModel	instanceOf	hasInstance
model	google/gemini-3-pro-preview	TextModel	hasCapability	capabilityOf
model	google/gemini-3-pro-preview	VisionModel	hasCapability	capabilityOf
model	deepcogito/cogito-v2.1-671b	AIModel	instanceOf	hasInstance
model	deepcogito/cogito-v2.1-671b	TextModel	hasCapability	capabilityOf
model	openai/gpt-5.1	AIModel	instanceOf	hasInstance
model	openai/gpt-5.1	TextModel	hasCapability	capabilityOf
model	openai/gpt-5.1	VisionModel	hasCapability	capabilityOf
model	openai/gpt-5.1-chat	AIModel	instanceOf	hasInstance
model	openai/gpt-5.1-chat	TextModel	hasCapability	capabilityOf
model	openai/gpt-5.1-chat	VisionModel	hasCapability	capabilityOf
model	openai/gpt-5.1-codex	AIModel	instanceOf	hasInstance
model	openai/gpt-5.1-codex	TextModel	hasCapability	capabilityOf
model	openai/gpt-5.1-codex	VisionModel	hasCapability	capabilityOf
model	openai/gpt-5.1-codex-mini	AIModel	instanceOf	hasInstance
model	openai/gpt-5.1-codex-mini	TextModel	hasCapability	capabilityOf
model	openai/gpt-5.1-codex-mini	VisionModel	hasCapability	capabilityOf
model	kwaipilot/kat-coder-pro	AIModel	instanceOf	hasInstance
model	kwaipilot/kat-coder-pro	TextModel	hasCapability	capabilityOf
model	moonshotai/kimi-linear-48b-a3b-instruct	AIModel	instanceOf	hasInstance
model	moonshotai/kimi-linear-48b-a3b-instruct	TextModel	hasCapability	capabilityOf
model	moonshotai/kimi-k2-thinking	AIModel	instanceOf	hasInstance
model	moonshotai/kimi-k2-thinking	TextModel	hasCapability	capabilityOf
model	amazon/nova-premier-v1	AIModel	instanceOf	hasInstance
model	amazon/nova-premier-v1	TextModel	hasCapability	capabilityOf
model	amazon/nova-premier-v1	VisionModel	hasCapability	capabilityOf
model	perplexity/sonar-pro-search	AIModel	instanceOf	hasInstance
model	perplexity/sonar-pro-search	TextModel	hasCapability	capabilityOf
model	perplexity/sonar-pro-search	VisionModel	hasCapability	capabilityOf
model	mistralai/voxtral-small-24b-2507	AIModel	instanceOf	hasInstance
model	mistralai/voxtral-small-24b-2507	TextModel	hasCapability	capabilityOf
model	openai/gpt-oss-safeguard-20b	AIModel	instanceOf	hasInstance
model	openai/gpt-oss-safeguard-20b	TextModel	hasCapability	capabilityOf
model	nvidia/nemotron-nano-12b-v2-vl	AIModel	instanceOf	hasInstance
model	nvidia/nemotron-nano-12b-v2-vl	TextModel	hasCapability	capabilityOf
model	nvidia/nemotron-nano-12b-v2-vl	VisionModel	hasCapability	capabilityOf
model	minimax/minimax-m2	AIModel	instanceOf	hasInstance
model	minimax/minimax-m2	TextModel	hasCapability	capabilityOf
model	liquid/lfm2-8b-a1b	AIModel	instanceOf	hasInstance
model	liquid/lfm2-8b-a1b	TextModel	hasCapability	capabilityOf
model	liquid/lfm-2.2-6b	AIModel	instanceOf	hasInstance
model	liquid/lfm-2.2-6b	TextModel	hasCapability	capabilityOf
model	ibm-granite/granite-4.0-h-micro	AIModel	instanceOf	hasInstance
model	ibm-granite/granite-4.0-h-micro	TextModel	hasCapability	capabilityOf
model	deepcogito/cogito-v2-preview-llama-405b	AIModel	instanceOf	hasInstance
model	deepcogito/cogito-v2-preview-llama-405b	TextModel	hasCapability	capabilityOf
model	openai/gpt-5-image-mini	AIModel	instanceOf	hasInstance
model	openai/gpt-5-image-mini	TextModel	hasCapability	capabilityOf
model	openai/gpt-5-image-mini	VisionModel	hasCapability	capabilityOf
model	anthropic/claude-haiku-4.5	AIModel	instanceOf	hasInstance
model	anthropic/claude-haiku-4.5	TextModel	hasCapability	capabilityOf
model	anthropic/claude-haiku-4.5	VisionModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-8b-thinking	AIModel	instanceOf	hasInstance
model	qwen/qwen3-vl-8b-thinking	TextModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-8b-thinking	VisionModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-8b-instruct	AIModel	instanceOf	hasInstance
model	qwen/qwen3-vl-8b-instruct	TextModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-8b-instruct	VisionModel	hasCapability	capabilityOf
model	openai/gpt-5-image	AIModel	instanceOf	hasInstance
model	openai/gpt-5-image	TextModel	hasCapability	capabilityOf
model	openai/gpt-5-image	VisionModel	hasCapability	capabilityOf
model	openai/o3-deep-research	AIModel	instanceOf	hasInstance
model	openai/o3-deep-research	TextModel	hasCapability	capabilityOf
model	openai/o3-deep-research	VisionModel	hasCapability	capabilityOf
model	openai/o4-mini-deep-research	AIModel	instanceOf	hasInstance
model	openai/o4-mini-deep-research	TextModel	hasCapability	capabilityOf
model	openai/o4-mini-deep-research	VisionModel	hasCapability	capabilityOf
model	nvidia/llama-3.3-nemotron-super-49b-v1.5	AIModel	instanceOf	hasInstance
model	nvidia/llama-3.3-nemotron-super-49b-v1.5	TextModel	hasCapability	capabilityOf
model	baidu/ernie-4.5-21b-a3b-thinking	AIModel	instanceOf	hasInstance
model	baidu/ernie-4.5-21b-a3b-thinking	TextModel	hasCapability	capabilityOf
model	google/gemini-2.5-flash-image	AIModel	instanceOf	hasInstance
model	google/gemini-2.5-flash-image	TextModel	hasCapability	capabilityOf
model	google/gemini-2.5-flash-image	VisionModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-30b-a3b-thinking	AIModel	instanceOf	hasInstance
model	qwen/qwen3-vl-30b-a3b-thinking	TextModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-30b-a3b-thinking	VisionModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-30b-a3b-instruct	AIModel	instanceOf	hasInstance
model	qwen/qwen3-vl-30b-a3b-instruct	TextModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-30b-a3b-instruct	VisionModel	hasCapability	capabilityOf
model	openai/gpt-5-pro	AIModel	instanceOf	hasInstance
model	openai/gpt-5-pro	TextModel	hasCapability	capabilityOf
model	openai/gpt-5-pro	VisionModel	hasCapability	capabilityOf
model	z-ai/glm-4.6	AIModel	instanceOf	hasInstance
model	z-ai/glm-4.6	TextModel	hasCapability	capabilityOf
model	z-ai/glm-4.6:exacto	AIModel	instanceOf	hasInstance
model	z-ai/glm-4.6:exacto	TextModel	hasCapability	capabilityOf
model	anthropic/claude-sonnet-4.5	AIModel	instanceOf	hasInstance
model	anthropic/claude-sonnet-4.5	TextModel	hasCapability	capabilityOf
model	anthropic/claude-sonnet-4.5	VisionModel	hasCapability	capabilityOf
model	deepseek/deepseek-v3.2-exp	AIModel	instanceOf	hasInstance
model	deepseek/deepseek-v3.2-exp	TextModel	hasCapability	capabilityOf
model	thedrummer/cydonia-24b-v4.1	AIModel	instanceOf	hasInstance
model	thedrummer/cydonia-24b-v4.1	TextModel	hasCapability	capabilityOf
model	relace/relace-apply-3	AIModel	instanceOf	hasInstance
model	relace/relace-apply-3	TextModel	hasCapability	capabilityOf
model	google/gemini-2.5-flash-preview-09-2025	AIModel	instanceOf	hasInstance
model	google/gemini-2.5-flash-preview-09-2025	TextModel	hasCapability	capabilityOf
model	google/gemini-2.5-flash-preview-09-2025	VisionModel	hasCapability	capabilityOf
model	google/gemini-2.5-flash-lite-preview-09-2025	AIModel	instanceOf	hasInstance
model	google/gemini-2.5-flash-lite-preview-09-2025	TextModel	hasCapability	capabilityOf
model	google/gemini-2.5-flash-lite-preview-09-2025	VisionModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-235b-a22b-thinking	AIModel	instanceOf	hasInstance
model	qwen/qwen3-vl-235b-a22b-thinking	TextModel	hasCapability	capabilityOf
model	qwen/qwen3-vl-235b-a22b-thinking	VisionModel	hasCapability	capabilityOf
