$id	$type	$context	name	description	code	baseNoun	modifiers	category	source	examples
https://language.org.ai/Concept/LongTermVision	https://language.org.ai/Concept	https://language.org.ai	LongTermVision	Strategic direction and goals extending beyond immediate horizons		Vision	long-term	Strategic Planning	APQC PCF 7.0	Define the business concept and long-term vision
https://language.org.ai/Concept/BusinessConcept	https://language.org.ai/Concept	https://language.org.ai	BusinessConcept	Fundamental idea or model underlying a business operation		Concept	business	Strategic Planning	APQC PCF 7.0	Define the business concept and long-term vision
https://language.org.ai/Concept/ExternalEnvironment	https://language.org.ai/Concept	https://language.org.ai	ExternalEnvironment	Forces, entities, and systems outside an organization		Environment	external	Strategic Analysis	APQC PCF 7.0	Assess the external environment
https://language.org.ai/Concept/InternalEnvironment	https://language.org.ai/Concept	https://language.org.ai	InternalEnvironment	Organization's in-house skills, resources and capabilities		Environment	internal	Strategic Analysis	APQC PCF 7.0	Assess the internal environment
https://language.org.ai/Concept/CustomerNeeds	https://language.org.ai/Concept	https://language.org.ai	CustomerNeeds	Requirements and desires of customers for products/services		Needs	customer	Market Research	APQC PCF 7.0	Survey market and determine customer needs and wants
https://language.org.ai/Concept/IntellectualProperty	https://language.org.ai/Concept	https://language.org.ai	IntellectualProperty	Creations of the mind with commercial value		Property	intellectual	Legal	APQC PCF 7.0	Evaluate intellectual property
https://language.org.ai/Concept/WorkingCapital	https://language.org.ai/Concept	https://language.org.ai	WorkingCapital	Financial metrics measuring operational efficiency		Capital	working	Finance	APQC PCF 7.0	Manage working capital
https://language.org.ai/Concept/SupplyChain	https://language.org.ai/Concept	https://language.org.ai	SupplyChain	Network between company and suppliers to produce and distribute		Chain	supply	Operations	APQC PCF 7.0	Manage supply chain
https://language.org.ai/Concept/HumanResources	https://language.org.ai/Concept	https://language.org.ai	HumanResources	Department managing employee-related functions		Resources	human	HR	APQC PCF 7.0	Manage human resources
https://language.org.ai/Concept/DataSecurity	https://language.org.ai/Concept	https://language.org.ai	DataSecurity	Protection of digital information from unauthorized access		Security	data	Information Technology	APQC PCF 7.0	Manage data security
https://language.org.ai/Concept/ProductDevelopment	https://language.org.ai/Concept	https://language.org.ai	ProductDevelopment	Process of bringing new products to market		Development	product	Innovation	APQC PCF 7.0	Manage product development
https://language.org.ai/Concept/ServiceDelivery	https://language.org.ai/Concept	https://language.org.ai	ServiceDelivery	Process of providing services to customers		Delivery	service	Operations	APQC PCF 7.0	Manage service delivery
https://language.org.ai/Concept/FinancialPerformance	https://language.org.ai/Concept	https://language.org.ai	FinancialPerformance	Measure of how well a firm uses assets to generate revenue		Performance	financial	Finance	APQC PCF 7.0	Monitor financial performance
https://language.org.ai/Concept/RiskManagement	https://language.org.ai/Concept	https://language.org.ai	RiskManagement	Identification, assessment, and prioritization of risks		Management	risk	Governance	APQC PCF 7.0	Implement risk management
https://language.org.ai/Concept/QualityControl	https://language.org.ai/Concept	https://language.org.ai	QualityControl	Process ensuring products/services meet requirements		Control	quality	Operations	APQC PCF 7.0	Implement quality control
https://language.org.ai/Concept/ChangeManagement	https://language.org.ai/Concept	https://language.org.ai	ChangeManagement	Structured approach to transitioning organizations		Management	change	Organizational Development	APQC PCF 7.0	Manage organizational change
https://language.org.ai/Concept/PerformanceManagement	https://language.org.ai/Concept	https://language.org.ai	PerformanceManagement	System for monitoring and improving organizational/employee performance		Management	performance	Operations	APQC PCF 7.0	Develop performance management processes
https://language.org.ai/Concept/CustomerService	https://language.org.ai/Concept	https://language.org.ai	CustomerService	Assistance and advice provided to customers		Service	customer	Customer Relations	APQC PCF 7.0	Manage customer service operations
https://language.org.ai/Concept/ProjectManagement	https://language.org.ai/Concept	https://language.org.ai	ProjectManagement	Application of knowledge and skills to achieve project objectives		Management	project	Operations	APQC PCF 7.0	Manage project execution
https://language.org.ai/Concept/ProtectionEquipment	https://language.org.ai/Concept	https://language.org.ai	ProtectionEquipment	Devices or gear used to protect workers from hazards		Equipment	protection	Safety	ONET	Maintain respiratory protection equipment
https://language.org.ai/Concept/RespiratoryProtectionEquipment	https://language.org.ai/Concept	https://language.org.ai	RespiratoryProtectionEquipment	Devices protecting workers from airborne hazards		Equipment	respiratory protection	Safety	ONET	Maintain respiratory protection equipment
https://language.org.ai/Concept/AerospaceVehicles	https://language.org.ai/Concept	https://language.org.ai	AerospaceVehicles	Aircraft and spacecraft used for air and space travel		Vehicles	aerospace	Aviation	ONET	Develop autonomous systems for uncrewed aerospace vehicles
https://language.org.ai/Concept/ResearchFindings	https://language.org.ai/Concept	https://language.org.ai	ResearchFindings	Results and conclusions from research studies		Findings	research	Research	ONET	Write, present, and publish research findings
https://language.org.ai/Concept/RemedialActions	https://language.org.ai/Concept	https://language.org.ai	RemedialActions	Corrective measures taken to fix problems		Actions	remedial	Quality	ONET	Recommend or perform remedial actions
https://language.org.ai/Concept/GovernmentLeaders	https://language.org.ai/Concept	https://language.org.ai	GovernmentLeaders	Officials and leaders in government organizations		Leaders	government	Government	ONET	Confer with leaders of government
https://language.org.ai/Concept/CommunityLeaders	https://language.org.ai/Concept	https://language.org.ai	CommunityLeaders	Leaders of community organizations and groups		Leaders	community	Community	ONET	Confer with leaders of community groups
https://language.org.ai/Concept/CustomerInteractions	https://language.org.ai/Concept	https://language.org.ai	CustomerInteractions	Exchanges and communications between customers and organization		Interactions	customer	Customer Service	APQC	Monitor quality of customer interactions
https://language.org.ai/Concept/StaffPerformance	https://language.org.ai/Concept	https://language.org.ai	StaffPerformance	How well employees execute their job responsibilities		Performance	staff	Human Resources	APQC	Determine performance of company staff
https://language.org.ai/Concept/CompanyStaff	https://language.org.ai/Concept	https://language.org.ai	CompanyStaff	Employees working for the company		Staff	company	Human Resources	APQC	Performance of company staff
https://language.org.ai/Concept/CapitalAllocation	https://language.org.ai/Concept	https://language.org.ai	CapitalAllocation	Distribution of financial resources across investments		Allocation	capital	Finance	APQC	Within established capital allocation
https://language.org.ai/Concept/RiskLimits	https://language.org.ai/Concept	https://language.org.ai	RiskLimits	Maximum acceptable levels of risk exposure		Limits	risk	Risk Management	APQC	Within established risk limits
https://language.org.ai/Concept/TradingStrategy	https://language.org.ai/Concept	https://language.org.ai	TradingStrategy	Plan for executing trades to achieve objectives		Strategy	trading	Finance	APQC	Consistent with trading strategy
https://language.org.ai/Concept/StudentAchievement	https://language.org.ai/Concept	https://language.org.ai	StudentAchievement	Measured learning outcomes of students		Achievement	student	Education	APQC	Actual student achievement
https://language.org.ai/Concept/AchievementTargets	https://language.org.ai/Concept	https://language.org.ai	AchievementTargets	Goals set for performance and accomplishment		Targets	achievement	Performance Management	APQC	Achievement targets or expectations
https://language.org.ai/Concept/PotentialValue	https://language.org.ai/Concept	https://language.org.ai	PotentialValue	Estimated worth or benefit that could be realized		Value	potential	Finance	APQC	Discover potential value in opportunities
https://language.org.ai/Concept/RegulatoryCapitalRequirements	https://language.org.ai/Concept	https://language.org.ai	RegulatoryCapitalRequirements	Minimum capital levels mandated by regulators		Requirements	regulatory capital	Finance	APQC	Calculate regulatory capital requirements
https://language.org.ai/Concept/CreditRisks	https://language.org.ai/Concept	https://language.org.ai	CreditRisks	Possibility of loss from borrower default		Risks	credit	Risk Management	APQC	Credit risks according to regulations
https://language.org.ai/Concept/IndustryRegulations	https://language.org.ai/Concept	https://language.org.ai	IndustryRegulations	Rules and standards governing an industry sector		Regulations	industry	Compliance	APQC	According to industry regulations
https://language.org.ai/Concept/NationalLegislation	https://language.org.ai/Concept	https://language.org.ai	NationalLegislation	Laws enacted at the country level		Legislation	national	Legal	APQC	According to national legislation
https://language.org.ai/Concept/InnovationStrategies	https://language.org.ai/Concept	https://language.org.ai	InnovationStrategies	Plans for developing new products or approaches		Strategies	innovation	Strategy	APQC	Develop innovation strategies
https://language.org.ai/Concept/StakeholderExpectations	https://language.org.ai/Concept	https://language.org.ai	StakeholderExpectations	What stakeholders anticipate or require		Expectations	stakeholder	Governance	APQC	Meet stakeholder expectations
https://language.org.ai/Concept/EducationalPrograms	https://language.org.ai/Concept	https://language.org.ai	EducationalPrograms	Structured courses of study and instruction		Programs	educational	Education	APQC	Educational programs and support services
https://language.org.ai/Concept/SupportServices	https://language.org.ai/Concept	https://language.org.ai	SupportServices	Auxiliary services that enable core operations		Services	support	Operations	APQC	Educational programs and support services
https://language.org.ai/Concept/FederalTestingAgencies	https://language.org.ai/Concept	https://language.org.ai	FederalTestingAgencies	Government bodies overseeing standardized tests		Agencies	federal testing	Education	APQC	Federal testing agencies or test publishers
https://language.org.ai/Concept/TestPublishers	https://language.org.ai/Concept	https://language.org.ai	TestPublishers	Companies that create and distribute assessments		Publishers	test	Education	APQC	Test publishers on quality issues
https://language.org.ai/Concept/QualityIssues	https://language.org.ai/Concept	https://language.org.ai	QualityIssues	Problems affecting standard or excellence		Issues	quality	Quality Control	APQC	Quality issues and needed improvements
https://language.org.ai/Concept/SuccessfulResponse	https://language.org.ai/Concept	https://language.org.ai	SuccessfulResponse	Answer or reaction that meets criteria		Response	successful	Performance	APQC	Requirements for successful response
https://language.org.ai/Concept/ScoringCriteria	https://language.org.ai/Concept	https://language.org.ai	ScoringCriteria	Standards used to evaluate performance		Criteria	scoring	Assessment	APQC	Scoring criteria for performance tasks
https://language.org.ai/Concept/PerformanceTasks	https://language.org.ai/Concept	https://language.org.ai	PerformanceTasks	Activities designed to demonstrate competency		Tasks	performance	Assessment	APQC	Performance tasks and open-ended items
https://language.org.ai/Concept/CommunicationMechanisms	https://language.org.ai/Concept	https://language.org.ai	CommunicationMechanisms	Systems or methods for exchanging information		Mechanisms	communication	Operations	APQC	Communication mechanisms for students
https://language.org.ai/Concept/CaseManagementProcess	https://language.org.ai/Concept	https://language.org.ai	CaseManagementProcess	Coordinated approach to handling individual cases		Process	case management	Operations	APQC	Case management process to streamline
https://language.org.ai/Concept/ServicesDuplication	https://language.org.ai/Concept	https://language.org.ai	ServicesDuplication	Unnecessary repetition of service provision		Duplication	services	Operations	APQC	Avoid duplication of services
https://language.org.ai/Concept/ComponentBlend	https://language.org.ai/Concept	https://language.org.ai	ComponentBlend	Mixture of elements combined for specific result		Blend	component	Manufacturing	APQC	Component blend meets specifications
https://language.org.ai/Concept/ProductSpecifications	https://language.org.ai/Concept	https://language.org.ai	ProductSpecifications	Detailed requirements for a product		Specifications	product	Quality	APQC	Product specifications and regulatory standards
https://language.org.ai/Concept/RegulatoryStandards	https://language.org.ai/Concept	https://language.org.ai	RegulatoryStandards	Official requirements set by governing bodies		Standards	regulatory	Compliance	APQC	Regulatory standards for products
https://language.org.ai/Concept/HydroelectricFacility	https://language.org.ai/Concept	https://language.org.ai	HydroelectricFacility	Power generation facility using water		Facility	hydroelectric	Energy	ONET	Supervise hydroelectric facility operations
https://language.org.ai/Concept/GenerationEquipment	https://language.org.ai/Concept	https://language.org.ai	GenerationEquipment	Machinery used to generate power		Equipment	generation	Energy	ONET	Generation equipment conform to regulations
https://language.org.ai/Concept/MechanicalEquipment	https://language.org.ai/Concept	https://language.org.ai	MechanicalEquipment	Machinery and mechanical systems		Equipment	mechanical	Operations	ONET	Mechanical equipment conform to regulations
https://language.org.ai/Concept/MaterialsPrices	https://language.org.ai/Concept	https://language.org.ai	MaterialsPrices	Cost of raw materials and supplies		Prices	materials	Procurement	ONET	Negotiate materials prices with suppliers
