ns	type	id	name	description	code	taskType
onet.org.ai	Task	Direct_Or_Coordinate_An_Organizations_Financial_Or_Budget_Activities_To_Fund_Operations_Maximize_Investments_Or_Increase_Efficiency	Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.	Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.	8823	Core
onet.org.ai	Task	Confer_With_Board_Members_Organization_Officials_Or_Staff_Members_To_Discuss_Issues_Coordinate_Activities_Or_Resolve_Problems	Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.	Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.	8824	Core
onet.org.ai	Task	Prepare_Budgets_For_Approval_Including_Those_For_Funding_Or_Implementation_Of_Programs	Prepare budgets for approval, including those for funding or implementation of programs.	Prepare budgets for approval, including those for funding or implementation of programs.	8827	Core
onet.org.ai	Task	Direct_Plan_Or_Implement_Policies_Objectives_Or_Activities_Of_Organizations_Or_Businesses_To_Ensure_Continuing_Operations_To_Maximize_Returns_On_Investments_Or_To_Increase_Productivity	Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.	Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.	8826	Core
onet.org.ai	Task	Prepare_Or_Present_Reports_Concerning_Activities_Expenses_Budgets_Government_Statutes_Or_Rulings_Or_Other_Items_Affecting_Businesses_Or_Program_Services	Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.	Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.	8834	Core
onet.org.ai	Task	Implement_Corrective_Action_Plans_To_Solve_Organizational_Or_Departmental_Problems	Implement corrective action plans to solve organizational or departmental problems.	Implement corrective action plans to solve organizational or departmental problems.	8836	Core
onet.org.ai	Task	Analyze_Operations_To_Evaluate_Performance_Of_A_Company_Or_Its_Staff_In_Meeting_Objectives_Or_To_Determine_Areas_Of_Potential_Cost_Reduction_Program_Improvement_Or_Policy_Change	Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.	Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.	8825	Core
onet.org.ai	Task	Direct_Or_Coordinate_Activities_Of_Businesses_Or_Departments_Concerned_With_Production_Pricing_Sales_Or_Distribution_Of_Products	Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.	Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.	8828	Core
onet.org.ai	Task	Direct_Human_Resources_Activities_Including_The_Approval_Of_Human_Resource_Plans_Or_Activities_The_Selection_Of_Directors_Or_Other_High_Level_Staff_Or_Establishment_Or_Organization_Of_Major_Departments	Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.	Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.	8832	Core
onet.org.ai	Task	Appoint_Department_Heads_Or_Managers_And_Assign_Or_Delegate_Responsibilities_To_Them	Appoint department heads or managers and assign or delegate responsibilities to them.	Appoint department heads or managers and assign or delegate responsibilities to them.	8831	Core
onet.org.ai	Task	Interpret_And_Explain_Policies_Rules_Regulations_Or_Laws_To_Organizations_Government_Or_Corporate_Officials_Or_Individuals	Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.	Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.	8843	Core
onet.org.ai	Task	Review_Reports_Submitted_By_Staff_Members_To_Recommend_Approval_Or_To_Suggest_Changes	Review reports submitted by staff members to recommend approval or to suggest changes.	Review reports submitted by staff members to recommend approval or to suggest changes.	8830	Core
onet.org.ai	Task	Negotiate_Or_Approve_Contracts_Or_Agreements_With_Suppliers_Distributors_Federal_Or_State_Agencies_Or_Other_Organizational_Entities	Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.	Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.	8829	Core
onet.org.ai	Task	Establish_Departmental_Responsibilities_And_Coordinate_Functions_Among_Departments_And_Sites	Establish departmental responsibilities and coordinate functions among departments and sites.	Establish departmental responsibilities and coordinate functions among departments and sites.	8835	Core
onet.org.ai	Task	Deliver_Speeches_Write_Articles_Or_Present_Information_At_Meetings_Or_Conventions_To_Promote_Services_Exchange_Ideas_Or_Accomplish_Objectives	Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.	Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.	8839	Core
onet.org.ai	Task	Serve_As_Liaisons_Between_Organizations_Shareholders_And_Outside_Organizations	Serve as liaisons between organizations, shareholders, and outside organizations.	Serve as liaisons between organizations, shareholders, and outside organizations.	8840	Core
onet.org.ai	Task	Coordinate_The_Development_Or_Implementation_Of_Budgetary_Control_Systems_Recordkeeping_Systems_Or_Other_Administrative_Control_Processes	Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.	Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.	8837	Core
