$id	$type	$context	name	description	code	hierarchyID
https://apqc.org.ai/Process/10002	https://apqc.org.ai/Process	https://apqc.org.ai	Develop Vision and Strategy	Establishing a direction and vision for an organization. This involves defining the business concept and long-term vision, as well as developing the business strategy and managing strategic initiatives. Processes in this category focus on creating a vision, a mission, and strategic objectives, and culminate in creating measures to ensure that the organization is moving in the desired direction.	10002	1.0
https://apqc.org.ai/Process/17040	https://apqc.org.ai/Process	https://apqc.org.ai	Define the business concept and long-term vision	Creating a conceptual framework of the organization's business activity and strategic vision with long-term applicability. Scout the organization's internal capabilities, as well as the customer's needs and desires, to identify a fit that can be used to advance a conceptual structure of the organization's business activity. Conduct analysis in light of relevant externalities and large-scale shifts in the market landscape.	17040	1.1
https://apqc.org.ai/Process/10017	https://apqc.org.ai/Process	https://apqc.org.ai	Assess the external environment	Assessing all forces, entities, and systems that are external to an organization but can affect its operation. Analyze far-reaching currents in the macroeconomic situation, assess the competition, evaluate technological changes, and identify societal as well as ecological issues of concern. Create a big-picture understanding of externalities, with sufficient depth across individual aspects.	10017	1.1.1
https://apqc.org.ai/Process/19945	https://apqc.org.ai/Process	https://apqc.org.ai	Identify competitors	Identifying your competitors, their service and/or product. Evaluating competitors strategies to determine their strengths and weaknesses relative to those of your own product or service.	19945	1.1.1.1
https://apqc.org.ai/Process/10021	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze and evaluate competition	Assessing the competitive forces in the marketplace that could potentially affect the organization. Analyze various aspects of business competition including competing firms. Aggregate competitive intelligence, create benchmarks to juxtapose processes and performance metrics, and inject crucial information about the competition into management models to synthesize insights.	10021	1.1.1.2
https://apqc.org.ai/Process/10022	https://apqc.org.ai/Process	https://apqc.org.ai	Identify economic trends	Determining large-scale macroeconomic shifts and trends, with medium to long-term relevance for the organization. Vet the immediate and the larger economic ecosystem to identify broad-based movements that affect the organization. In the immediate vicinity, for example, examine the stock price of key vendors/suppliers in the organizational value-chain. In the larger economic ecosystem, analyze according to geographical distribution where factors such as interest rates, taxation structures, oil prices, and unemployment rates are explored.	10022	1.1.1.3
https://apqc.org.ai/Process/10023	https://apqc.org.ai/Process	https://apqc.org.ai	Identify political and regulatory issues	Identifying areas of concern pertaining to public policy and regulation, established by sovereign or multinational authorities. Examine various regions and geopolitical formations to identify those political and regulatory issues-present or developing-that can potentially affect the organization. Plan for an iterative process, partitioned across regional and geopolitical entities that have a direct bearing on the organization's activities. Assess changes in environmental compliance, product standards, trade barriers, etc.	10023	1.1.1.4
https://apqc.org.ai/Process/10024	https://apqc.org.ai/Process	https://apqc.org.ai	Assess new technology innovations	Assessing developments in technologies presently being used by the business, new technologies that have a potential for the business, and any disruptive innovations. Conduct a survey of advancement in technologies that are already deployed with inputs from the personnel closely working with them, tracking utility and feasibility for deployment. Arrange for mid- to senior-level management personnel who explore contingent uses to assess new and disruptive technologies. Follow up with desk research, involving physical scoping and viability assessment.	10024	1.1.1.5
https://apqc.org.ai/Process/10025	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze demographics	Analyzing statistical data relating to the size, distribution, and composition of relevant populations, as well as their characteristics. Perform quantitative analysis over raw data-sets gathered from well-founded sources such as government census or large, private databases. Consider employing primary research in collecting required statistics. Use comprehensive studies (reports, briefs, and articles) to assist with the analysis, in place of raw data.	10025	1.1.1.6
https://apqc.org.ai/Process/10026	https://apqc.org.ai/Process	https://apqc.org.ai	Identify social and cultural changes	Distinguishing changes in societal makeup, as well as the cultural composite. Isolate shifts in the societal composition and distribution, as well as the value systems and attributes that bind the organization together. Analyze well-regarded publications--and gather the perspective of public intellectuals and opinion leaders--on relevant issues.	10026	1.1.1.7
https://apqc.org.ai/Process/10027	https://apqc.org.ai/Process	https://apqc.org.ai	Identify ecological concerns	Identifying changes in ecological ecosystems that can be directly or indirectly detrimental to the organization. Analyze ecological factors within the immediate ecosystem for near to middle-term impact. Analyze the ecology, at large, to get a sense of long-term shifts and concerns. Gather analyses from research publications. Speak to subject matter experts. Engage with advocacy groups, lawyers, journalists, and the active populations.	10027	1.1.1.8
https://apqc.org.ai/Process/11301	https://apqc.org.ai/Process	https://apqc.org.ai	Conduct mergers and acquisitions (M&A) analysis	Conduct mergers and acquisitions (M&A) analysis	11301	1.1.1.9
https://apqc.org.ai/Process/11302	https://apqc.org.ai/Process	https://apqc.org.ai	Monitor external opportunities and threats	Monitor external opportunities and threats	11302	1.1.1.10
https://apqc.org.ai/Process/16790	https://apqc.org.ai/Process	https://apqc.org.ai	Identify intellectual property concerns	Establishing measures and procedures for identifying various intellectual property threats and concerns.	16790	1.1.1.11
https://apqc.org.ai/Process/16791	https://apqc.org.ai/Process	https://apqc.org.ai	Evaluate IP acquisition options	Establishing and defining measures and methods for valuation and acquisitions of IP. Defining the value of intellectual property for buying and licensing of IP rights.	16791	1.1.1.12
https://apqc.org.ai/Process/10018	https://apqc.org.ai/Process	https://apqc.org.ai	Survey market and determine customer needs and wants	Examining the market to identify customer required solutions. Assess the relevant market(s) to determine the products/services that are needed or wanted by customers. Carry out quantitative and qualitative analyses to capture and investigate products/services. Employ creative techniques that allow for a closer appreciation of the customer, and design relevant solutions.	10018	1.1.2
https://apqc.org.ai/Process/10028	https://apqc.org.ai/Process	https://apqc.org.ai	Conduct qualitative/quantitative research and assessments	Investigating key market features and customer characteristics, using qualitative and quantitative measures to capture relevant aspects. Distill key ingredients that allow the organization to Capture customer needs and wants [19946], and Assess customer needs and wants [19947]. Conduct standardized appraisals by defining selection parameters and setting quotas.	10028	1.1.2.1
https://apqc.org.ai/Process/19946	https://apqc.org.ai/Process	https://apqc.org.ai	Capture customer needs and wants	Identifying and collecting customers' wants and needs of a product and/or services from a marketing perspective. Identify which consumer needs are important and whether needs are being met by current products/services. 	19946	1.1.2.2
https://apqc.org.ai/Process/19947	https://apqc.org.ai/Process	https://apqc.org.ai	Assess customer needs and wants	Creating customer profiles to get a picture of customers and their needs. Identify particular groups of people/organizations that benefit from your product/services and then selling to them.	19947	1.1.2.3
https://apqc.org.ai/Process/10019	https://apqc.org.ai/Process	https://apqc.org.ai	Assess the internal environment	Undertaking a review of the organization's in-house skills and resources in order to create a big-picture understanding of internal capacities. Assess the organization's capabilities in order to advance the advantageous and weed out the detrimental aspects. Identify synergic associations within the backdrop of the forces and players active in the market, and take into account all externalities.	10019	1.1.3
https://apqc.org.ai/Process/10030	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze organizational characteristics	Identifying and examining key attributes that differentiate the organization in the market and those that underscore the core of its operations. Consider how the organization functions. Reflect over tangible and intangible aspects in order to spot critical correlations and the interplay between these attributes. Have senior executives conduct the analysis, with input from management and operational personnel.	10030	1.1.3.1
https://apqc.org.ai/Process/19948	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze internal operations	Identify key elements of operations and measure effectiveness of these elements within internal operations.	19948	1.1.3.2
