id	name	description	type
- mallabe Currencies - for daily currencies, currencies conversion	mallabe-validations-phone-email-	Content & Files	AI Tool
10minutemail	10Minutemail	Temporary disposable e-mail service to beat spam.  Avoid spam with a free secure e-mail address.	Email
360dialog	360dialog	360dialog is an analytics platform to measure the performance of WhatsApp marketing campaigns.	Analytics
3scribe	3Scribe	3Scribe is the most accurate, automated text transcription available.  We convert audio and video files and give near human accuracy at automated prices.	Transcription
4hse	4HSE	4HSE is a cloud-based HSE software that automates workplace safety processes and ensures regulatory compliance across all locations.	Human Resources
AbcSalesAi	ABC Sales AI	ABC Sales AI is an AI-powered platform that automates customer interactions, lead management, and sales workflows.	Sales & CRM
AbcTrainerize	ABC Trainerize	ABC Trainerize is a powerful personal training software to grow your business and reach more clients with online personal training, meal planning, in-app communication and workout tracking.	Fitness
Academyocean	AcademyOcean	AcademyOcean is an LMS system that helps businesses automate training for employees, customers, and partners.	Online Courses
AccessFasttrack360	Access FastTrack360	Access FastTrack360 is an end-to-end recruitment and payroll platform.	Analytics
AccessRaise	Access Raise	Access Raise is a digital, scalable solution for fundraising, donor engagement and data collection activities	Website Builders
Accurai	AccurAI	AccurAI is a machine-learning-based end-to-end automation app, providing unparalleled savings in document processing with tight integration options.	AI Assistants
AcelleMail	Acelle Mail	Acelle Mail is a self hosted, open source, full-featured and easy to use email marketing web application written in PHP / Laravel 5 that lets you send high-volume marketing emails via your own server or through other email service (SMTP) providers.	Marketing Automation
Act!	Act!	Collaborate with your team to stay up-to-date on the latest contacts and automate best practice sales processes.	CRM (Customer Relationship Management)
Activecalculator	ActiveCalculator	ActiveCalculator is a no-code tool to create branded calculators, forms, and funnels that automate marketing and sales processes.	Forms & Surveys
Activecampaign	ActiveCampaign	ActiveCampaign is a customer experience automation (CXA) platform that helps businesses meaningfully engage customers. Access pre-built automations that combine transactional email and email marketing, marketing automation, ecommerce marketing, and CRM for powerful segmentation and personalization across social, email, messaging, chat, and text.	Marketing Automation
ActivecampaignPostmark	ActiveCampaign Postmark	Postmark is specifically built to deliver your app's emails to the inbox, fast. Instantly send and receive emails with zero maintenance. Our infrastructure combined with proper content and delivery practices means higher response rates from your customers.	Transactional Email
Activetrail	ActiveTrail	ActiveTrail is a marketing automation platform designed to help you maintain active relationships with customers, prospects, and user communities.	Marketing Automation
Acumbamail	Acumbamail	Acumbamail is a simple and effective Email Marketing tool for everyone.	Email Newsletters
Acymailing	AcyMailing	AcyMailing is an email marketing tool for WordPress and Joomla! to handle users, their subscriptions and send them meaningful emails.	Email Newsletters
Adam.ai	adam.ai	An all-in-one intelligent meeting management solution that handles the entire meeting content lifecycle.	Project Management
Adificial	Adificial	Adificial is a smart video automation platform. We automate the production of personalized, interactive, data driven, video at scale.	Video & Audio
Admanage	Admanage	Admanage is a service that allows you to automate your Ad launching process.	Ads & Conversion
Aerofiler	Aerofiler	Aerofiler is for in-house legal teams who wish to automate the process of creating, approving, filing and tracking contracts.	Documents
Aevent	AEvent	With AEvent you can automate the creation, marketing, and follow up of webinars and live meeting events to maximize engagement and streamline conversions.	Sales & CRM
Agenthost.ai	Agenthost.ai	Agenthost.ai is a marketplace for discovering, creating, and monetizing amazing AI agents	AI Agents
AgentLegend	Agent Legend	Agent Legend is an automated, multi-channel marketing tool.	CRM (Customer Relationship Management)
Ai21Labs	AI21 Labs	AI21 Labs develops advanced language models and AI systems to power scalable natural language processing for enterprises.	AI Models
AiAnswers	AI Answers	AI Answers automates both incoming and outgoing calls using voice AI.	App Builder
AiChatbotHub	AI Chatbot Hub	AI Chatbot Hub is a no-code AI agent building platform.	AI Chatbots
Aidaform	AidaForm	AidaForm is a SaaS solution allowing you to create and publish online forms, Instagram Bio links, and landing pages. Collect and analyze response data, process and share the data with other services and tools.	Forms & Surveys
Aidbase	Aidbase	Aidbase is an AI-powered platform that helps businesses enhance self-serve and automate customer support.	AI Chatbots
Aidex	AideX	AideX is an app that allows you to create and manage AI agents to assist you in your work.	AI Assistants
Aiflow	AIFlow	AIFlow is an extended CRM tool for small to medium sized businesses.	CRM (Customer Relationship Management)
AiFm	AI-FM	AI FM is a B2B company based on a new concept, namely “Intelligence as a Service” (IaaS) on demand	Productivity
AiJobMatching	AI Job Matching	AI Job Matching is a tool that parses resumes and job descriptions into structured data and calculates match scores based on custom weights.	HR Talent & Recruitment
Ailaw	AILaw	AILaw is a platform for integrating case management, form auto-filling, lawyer and client portals, and much more.	Forms & Surveys
Aimasher	AiMasher	AiMasher is a content generation tool. It can import articles from many applications and instantly add images, videos and voice-overs.	Marketing Automation
Aimfox	Aimfox	Enhance reach with Aimfox, a LinkedIn automation tool for sales, marketing, HR & beyond. Connect effortlessly!	Marketing Automation
AiMlApi	AI/ML API	AI/ML API is a seamless way to integrate AI into your workflow by accessing most popular AI models.	AI Assistants
Aimtell	Aimtell	Aimtell is a platform that enables you to re-engage your website visitors with highly targeted browser push notifications.	Marketing Automation
AiMultiprompter	AI MultiPrompter	AI MultiPrompter is an AI text, image, and audio generation interface with 11 AI models including Chat-GPT, Claude, and Gemini with keyword-specific prompting.	AI Assistants
AiNumber	AI Number	AI Number is a platform that allows you to automate conversations via WhatsApp, calls, and texts using human-like AI.	AI Assistants
Air	Air	Air is a tool for automating creative operations & managing creative assets at any scale.	Content & Files
Aira	Aira	Aira is a AI receptionist that handles calls 24/7: takes messages, answers questions, books appointments & transfers calls.	AI Assistants
Airagent	AirAgent	AirAgent is an agentic tool to make outbound calls, receive inbound calls, manage web calls and view detailed analytics of operations.	AI Agents
Airbnb	Airbnb	Airbnb is a unique marketplace for renting amazing lodging in over 190 different countries. Use Zapier's Email Parser to take confirmation emails and send them to hundreds of different SaaS apps!	eCommerce
Airbrake	Airbrake	Airbrake collects errors generated by other applications, and aggregates the results for review.	Developer Tools
Aircall	Aircall	Cloud based phone system and call center software all-in-one with Cloud Telephony Integrations (CTI) with your favorite CRM & Helpdesk software.	Phone & SMS
AiReceptionist	AI Receptionist	AI Receptionist is an AI-powered call answering that engages your callers with real-time understanding, natural responses and even follow up questions.	Communication
AireLink	AIRe Link	AIRe Link is a professional browser-based visual remote support tool to help reduce customer visits and improve first-time fix rates.	Communication
Airfocus	airfocus	Use airfocus to prioritize your projects and features to build more effective roadmaps. Get everyone aligned and the right stuff done.	Product Management
Airgift	AirGift	AirGift.io is a platform for creating and offering NFTs to businesses. In a few minutes, any company can create its own NFT collection, set up trigger events and start offering NFTs to its community.	Website Builders
Airmatch	AirMatch	AirMatch is an HVAC proposal tool with AHRI matchups, load calcs, financing, and e-signing	Proposal & Invoice Management
Airmeet	Airmeet	Airmeet is an all-in-one platform for communities & organizations to host immersive events and build real connections, online.	Event Management
Airops	AirOps	AirOps is a platform for building AI-driven workflows and chat agents using advanced language models.	AI Assistants
Airparser	Airparser	Airparser is a GPT-powered data extraction tool. Extract structured data from PDFs, emails, HTML, texts, images and more.	AI Document Extraction
Airpinpoint	AirPinpoint	AirPinpoint is a GPS and asset tracking platform for equipment, tools, and rentals with the longest battery life and real-time location monitoring.	Internet of Things
Airpreneur	Airpreneur	Airpreneur enables you to earn alongside creative pros. Access online courses, upskill, learn new skills, and advance your career with minimal disruption	Education
Airtable	Airtable	Organize anything with Airtable, a modern database created for everyone. Airtable is a fast and flexible way to create tables to keep track of anything, from sales leads to vacation planning to inventory management.	Databases
Airteach	Airteach	Airteach allows you to create, host and sell online courses without any technical knowledge, on your own training academy.	Online Courses
Airwallex	Airwallex	Airwallex is a payments platform transforming the way businesses move and manage money globally.	Payment Processing
AisaAiSalesAssistant	AISA - AI Sales Assistant	AISA - AI Sales Assistant is an AI-powered conversational platform designed to enhance your sales and customer support.	Sales & CRM
AiSeoDirector	AI SEO Director	AI SEO Director is a SEO tool that outputs features and actions to boost Google rankings for specific URLs and keywords.	Marketing
AislePlanner	Aisle Planner	Aisle Planner started with the idea that there was a better way to plan weddings - that wedding professionals could have all of the wedding planning and client management tools they need, all in one reliable place. With everything from lead management and booking tools to checklists, day-of timelines and a guest manager, Aisle Planner has what wedding industry pros need to book clients quickly and manage the million and one details that come with the job.	Project Management
Aista	AISTA	AISTA can create a custom ChatGPT website chatbot based upon site existing data answering questions the way you want it to.	AI Models
AiStudios	AI Studios	AI Studios automates personalized video messages at scale.	Video & Audio
Aitable.ai	AITable.ai	AITable.ai is your own spreadsheet-style database for superior project management and CRM.	Databases
AiTextraction	AI Textraction	AI Textraction is a powerful AI-powered text parser that extracts custom user-defined entities from unstructured text.	AI Document Extraction
Aiva	Aiva	Aiva is a design focused website campaign tool that allows you to engage your website visitors and inspire action with no coding required.	Forms & Surveys
Aivo	Aivo	Aivo is a company that develops artificial intelligence solutions with the aim of transforming the way companies and customers interact.	CRM (Customer Relationship Management)
