id	name	description	stage	focus
Growth	Growth	Growth equity for established companies	Growth	General
GrowthAgtechVC	Growth Agtech VC	Growth equity for established companies focused on agtech	Growth	Agtech
GrowthAiMlVC	Growth AI/ML VC	Growth equity for established companies focused on ai/ml	Growth	AI/ML
GrowthBiotechVC	Growth Biotech VC	Growth equity for established companies focused on biotech	Growth	Biotech
GrowthBlockchainVC	Growth Blockchain VC	Growth equity for established companies focused on blockchain	Growth	Blockchain
GrowthCleantechVC	Growth CleanTech VC	Growth equity for established companies focused on cleantech	Growth	CleanTech
GrowthConsumerVC	Growth Consumer VC	Growth equity for established companies focused on consumer	Growth	Consumer
GrowthCybersecurityVC	Growth Cybersecurity VC	Growth equity for established companies focused on cybersecurity	Growth	Cybersecurity
GrowthDeeptechVC	Growth DeepTech VC	Growth equity for established companies focused on deeptech	Growth	DeepTech
GrowthDevtoolsVC	Growth DevTools VC	Growth equity for established companies focused on devtools	Growth	DevTools
GrowthEcommerceVC	Growth eCommerce VC	Growth equity for established companies focused on ecommerce	Growth	eCommerce
GrowthEdtechVC	Growth EdTech VC	Growth equity for established companies focused on edtech	Growth	EdTech
GrowthEnterpriseVC	Growth Enterprise VC	Growth equity for established companies focused on enterprise	Growth	Enterprise
GrowthFintechVC	Growth Fintech VC	Growth equity for established companies focused on fintech	Growth	Fintech
GrowthHealthcareVC	Growth Healthcare VC	Growth equity for established companies focused on healthcare	Growth	Healthcare
GrowthInfrastructureVC	Growth Infrastructure VC	Growth equity for established companies focused on infrastructure	Growth	Infrastructure
GrowthMarketplaceVC	Growth Marketplace VC	Growth equity for established companies focused on marketplace	Growth	Marketplace
GrowthMobilityVC	Growth Mobility VC	Growth equity for established companies focused on mobility	Growth	Mobility
GrowthProptechVC	Growth PropTech VC	Growth equity for established companies focused on proptech	Growth	PropTech
GrowthSaasVC	Growth SaaS VC	Growth equity for established companies focused on saas	Growth	SaaS
GrowthTechnologyVC	Growth Technology VC	Growth equity for established companies focused on technology	Growth	Technology
LateStage	Late Stage	Late-stage venture capital	Late Stage	General
LateStageAgtechVC	Late Stage Agtech VC	Late-stage venture capital focused on agtech	Late Stage	Agtech
LateStageAiMlVC	Late Stage AI/ML VC	Late-stage venture capital focused on ai/ml	Late Stage	AI/ML
LateStageBiotechVC	Late Stage Biotech VC	Late-stage venture capital focused on biotech	Late Stage	Biotech
LateStageBlockchainVC	Late Stage Blockchain VC	Late-stage venture capital focused on blockchain	Late Stage	Blockchain
LateStageCleantechVC	Late Stage CleanTech VC	Late-stage venture capital focused on cleantech	Late Stage	CleanTech
LateStageConsumerVC	Late Stage Consumer VC	Late-stage venture capital focused on consumer	Late Stage	Consumer
LateStageCybersecurityVC	Late Stage Cybersecurity VC	Late-stage venture capital focused on cybersecurity	Late Stage	Cybersecurity
LateStageDeeptechVC	Late Stage DeepTech VC	Late-stage venture capital focused on deeptech	Late Stage	DeepTech
LateStageDevtoolsVC	Late Stage DevTools VC	Late-stage venture capital focused on devtools	Late Stage	DevTools
LateStageEcommerceVC	Late Stage eCommerce VC	Late-stage venture capital focused on ecommerce	Late Stage	eCommerce
LateStageEdtechVC	Late Stage EdTech VC	Late-stage venture capital focused on edtech	Late Stage	EdTech
