ns	type	id	name	description	code	category	usage
language.org.ai	Conjunction	And	and	connects words, phrases, or clauses		Coordinating	coffee and tea
language.org.ai	Conjunction	But	but	introduces a contrast or exception		Coordinating	small but powerful
language.org.ai	Conjunction	Or	or	presents alternatives		Coordinating	yes or no
language.org.ai	Conjunction	Nor	nor	negative alternative		Coordinating	neither this nor that
language.org.ai	Conjunction	For	for	indicates reason or purpose		Coordinating	worked hard, for success
language.org.ai	Conjunction	So	so	indicates result or consequence		Coordinating	tired, so rested
language.org.ai	Conjunction	Yet	yet	introduces a contrasting idea		Coordinating	small yet mighty
language.org.ai	Conjunction	After	after	follows in time		Subordinating	after completion
language.org.ai	Conjunction	Although	although	despite the fact that		Subordinating	although difficult
language.org.ai	Conjunction	As	as	at the same time; because		Subordinating	as requested
language.org.ai	Conjunction	Because	because	for the reason that		Subordinating	because necessary
language.org.ai	Conjunction	Before	before	earlier than		Subordinating	before starting
language.org.ai	Conjunction	If	if	on the condition that		Subordinating	if approved
language.org.ai	Conjunction	Once	once	as soon as		Subordinating	once finished
language.org.ai	Conjunction	Since	since	from a time in the past		Subordinating	since Monday
language.org.ai	Conjunction	Than	than	introduces comparison		Subordinating	better than before
language.org.ai	Conjunction	That	that	introduces a clause		Subordinating	know that it works
language.org.ai	Conjunction	Though	though	despite the fact		Subordinating	though challenging
language.org.ai	Conjunction	Till	till	up to the time when		Subordinating	till completion
language.org.ai	Conjunction	Unless	unless	except on the condition that		Subordinating	unless canceled
language.org.ai	Conjunction	Until	until	up to the time that		Subordinating	until approved
language.org.ai	Conjunction	When	when	at or during the time that		Subordinating	when ready
language.org.ai	Conjunction	Where	where	at or in which place		Subordinating	where needed
language.org.ai	Conjunction	Whereas	whereas	in contrast to the fact that		Subordinating	whereas others failed
language.org.ai	Conjunction	Wherever	wherever	in or to whatever place		Subordinating	wherever possible
language.org.ai	Conjunction	Whether	whether	if; either		Subordinating	whether approved
language.org.ai	Conjunction	While	while	during the time that		Subordinating	while working
language.org.ai	Conjunction	Both	both	the two; one and the other		Correlative	both manager and employee
language.org.ai	Conjunction	Either	either	one or the other of two		Correlative	either option
language.org.ai	Conjunction	Neither	neither	not one nor the other		Correlative	neither option
language.org.ai	Conjunction	Not	not	negation		Correlative	not only...but also
